,0,1,2,3,4,5,6,7,8,9
10900113001,M(CS)401,CS401,CS402,CS403,CS501,CS502,CS504D,CS601,CS602,CS605A
10900113002,M(CS)401,CS502,CS603,CS605A,CS302,CS303,CS403,CS501,CS503,CS504D
10900113003,CS201,CS501,CS502,CS302,M(CS)401,CS401,CS402,CS504D,CS601,CS605A
10900113004,CS605A,CS302,M(CS)401,CS401,CS503,CS504D,CS601,CS303,CS402,CS501
10900113006,CS302,M(CS)401,CS501,CS502,CS504D,CS605A,CS303,CS503,CS601,CS603
10900113007,CS605A,M(CS)401,CS401,CS501,CS201,CS302,CS403,CS502,CS504D,CS601
10900113008,CS501,CS603,CS201,CS302,M(CS)401,CS401,CS601,CS602,CS605A,CS402
10900113009,CS302,M(CS)401,CS401,CS502,CS504D,CS601,CS603,CS605A,CS201,CS303
10900113010,CS504D,CS302,M(CS)401,CS403,CS501,CS601,CS402,CS502,CS503,CS602
10900113011,CS302,CS501,CS601,CS401,CS502,CS503,CS504D,CS605A,CS201,CS301
10900113012,CS302,CS501,CS201,CS403,CS601,CS602,CS301,CS303,M(CS)401,CS401
10900113013,CS302,CS502,CS603,CS605A,CS201,CS303,M(CS)401,CS401,CS402,CS403
10900113014,CS605A,CS401,CS501,CS302,M(CS)401,CS402,CS403,CS502,CS504D,CS601
10900113015,CS605A,CS301,CS401,CS402,CS501,CS504D,CS601,CS603,CS201,CS403
10900113016,CS502,CS201,CS302,CS401,CS501,CS602,CS605A,CS301,CS503,CS504D
10900113017,CS605A,CS201,M(CS)401,CS501,CS502,CS503,CS504D,CS601,CS301,CS302
10900113018,CS502,CS605A,M(CS)401,CS401,CS503,CS601,CS603,CS201,CS301,CS302
10900113019,CS201,M(CS)401,CS502,CS504D,CS301,CS303,CS401,CS402,CS501,CS503
10900113020,CS302,CS601,CS201,M(CS)401,CS401,CS403,CS501,CS503,CS504D,CS603
10900113021,CS605A,CS302,CS504D,CS603,M(CS)401,CS401,CS403,CS501,CS502,CS601
10900113022,CS502,CS605A,CS201,M(CS)401,CS501,CS503,CS504D,CS302,CS403,CS601
10900113023,CS605A,CS401,CS504D,CS201,CS301,CS302,M(CS)401,CS402,CS501,CS502
10900113025,CS601,CS605A,CS201,CS301,CS302,M(CS)401,CS401,CS501,CS504D,CS604A/ CS604B
10900113026,CS605A,CS303,M(CS)401,CS401,CS402,CS403,CS501,CS503,CS201,CS301
10900113027,CS201,CS402,CS501,CS601,CS602,CS605A,CS302,CS303,CS401,CS403
10900113028,CS302,CS402,CS501,CS605A,CS401,CS403,CS502,CS503,CS504D,CS601
10900113029,CS402,CS601,CS201,CS302,CS501,CS503,CS602,CS603,CS604A/ CS604B,CS303
10900113030,CS201,CS501,CS504D,CS601,CS302,CS303,M(CS)401,CS502,CS503,CS602
10900113031,CS402,CS504D,CS201,CS301,CS302,CS501,CS503,CS601,CS605A,CS303
10900113032,CS402,CS605A,CS302,CS403,CS501,CS504D,CS601,CS301,CS502,CS602
10900113033,CS201,CS402,CS605A,CS302,M(CS)401,CS401,CS502,CS503,CS504D,CS601
10900113034,M(CS)401,CS504D,CS302,CS502,CS601,CS605A,CS402,CS501,CS503,CS602
10900113035,CS503,CS601,CS201,CS302,M(CS)401,CS602,CS603,CS605A,CS301,CS401
10900113036,CS605A,CS201,CS302,CS401,CS402,CS503,CS504D,M(CS)401,CS502,CS601
10900113037,CS601,CS201,CS302,CS303,M(CS)401,CS402,CS503,CS504D,CS403,CS501
10900113038,CS605A,CS302,CS402,CS504D,M(CS)401,CS501,CS502,CS601,CS201,CS301
10900113039,CS302,CS501,CS503,CS605A,CS201,M(CS)401,CS401,CS402,CS502,CS504D
10900113040,CS402,CS504D,CS605A,CS201,CS301,CS302,M(CS)401,CS403,CS501,CS502
10900113041,CS201,CS402,CS504D,CS601,CS603,CS605A,CS302,M(CS)401,CS401,CS501
10900113042,CS402,CS601,CS302,CS502,CS603,CS605A,CS201,CS301,M(CS)401,CS401
10900113043,CS302,M(CS)401,CS402,CS501,CS201,CS502,CS503,CS504D,CS601,CS603
10900113044,CS201,CS302,CS402,CS403,CS501,CS502,CS503,CS601,M(CS)401,CS603
10900113045,CS201,CS302,CS501,M(CS)401,CS402,CS502,CS504D,CS603,CS301,CS403
10900113046,CS201,CS302,CS401,CS402,CS501,CS502,CS503,CS601,CS603,CS504D
10900113047,CS201,CS402,CS504D,CS403,CS501,CS502,CS601,CS603,CS401,CS602
10900113048,CS402,CS502,CS605A,CS201,CS302,M(CS)401,CS401,CS501,CS504D,CS601
10900113049,CS201,CS302,CS601,M(CS)401,CS401,CS403,CS501,CS503,CS504D,CS303
10900113050,CS402,CS605A,CS401,CS501,CS504D,CS201,CS302,M(CS)401,CS403,CS502
10900113051,CS402,CS605A,CS302,CS501,CS504D,CS601,CS603,CS201,CS301,CS403
10900113052,CS501,CS601,CS605A,CS302,CS402,CS502,CS503,CS602,CS603,M(CS)401
10900113053,CS501,CS504D,CS601,CS603,CS605A,CS201,CS302,CS402,CS403,CS502
10900113054,CS605A,CS302,CS402,CS504D,CS201,CS403,CS501,CS601,CS603,CS303
10900113055,M(CS)401,CS603,CS605A,CS302,CS401,CS402,CS501,CS504D,CS201,CS303
10900113056,CS605A,CS503,CS504D,CS601,CS603,CS201,CS301,CS302,CS303,CS402
10900113057,CS201,CS302,CS504D,CS601,CS602,CS603,CS301,CS502,CS303,M(CS)401
10900113058,CS605A,CS302,M(CS)401,CS402,CS502,CS601,CS603,CS201,CS301,CS403
10900113059,CS605A,CS501,CS502,CS503,CS603,CS301,CS302,M(CS)401,CS401,CS402
10900113060,CS401,CS501,CS503,CS504D,CS601,CS603,M(CS)401,CS402,CS403,CS502
10900113061,CS503,CS502,CS201,CS302,M(CS)401,CS401,CS402,CS403,CS501,CS504D
10900113062,CS201,CS602,CS605A,CS302,M(CS)401,CS402,CS403,CS501,CS502,CS503
10900113063,M(CS)401,CS201,CS502,CS603,CS605A,CS301,CS302,CS401,CS402,CS403
10900113064,CS605A,M(CS)401,CS201,CS302,CS401,CS403,CS501,CS502,CS503,CS601
10900113065,CS605A,CS201,M(CS)401,CS403,CS501,CS503,CS602,CS603,CS302,CS401
10900113066,CS605A,CS201,CS302,M(CS)401,CS401,CS502,CS503,CS602,CS402,CS403
10900113067,CS605A,CS401,CS402,CS403,CS501,CS201,M(CS)401,CS502,CS503,CS504D
10900113068,CS201,CS401,CS402,CS502,CS301,CS302,CS303,M(CS)401,CS403,CS503
10900113069,CS502,CS504D,CS605A,M(CS)401,CS401,CS402,CS603,CS201,CS301,CS302
10900113070,CS605A,CS201,CS402,CS501,CS502,CS503,CS504D,CS601,CS302,M(CS)401
10900113071,CS201,M(CS)401,CS503,CS504D,CS401,CS402,CS601,CS302,CS403,CS501
10900113072,M(CS)401,CS302,CS401,CS502,CS504D,CS605A,CS201,CS303,CS402,CS501
10900113073,M(CS)401,CS401,CS602,CS303,CS403,CS501,CS504D,CS601,CS603,CS605A
10900113074,CS401,CS501,CS601,M(CS)401,CS402,CS403,CS502,CS504D,CS602,CS201
10900113075,M(CS)401,CS201,CS501,CS504D,CS601,CS302,CS401,CS402,CS403,CS602
10900113076,M(CS)401,CS201,CS401,CS501,CS504D,CS402,CS602,CS605A,CS302,CS303
10900113077,M(CS)401,CS501,CS504D,CS201,CS503,CS605A,CS302,CS303,CS401,CS402
10900113078,CS401,CS503,CS602,M(CS)401,CS504D,CS601,CS604A/ CS604B,CS605A,CS201,CS302
10900113079,CS302,CS401,CS605A,CS201,CS301,M(CS)401,CS501,CS503,CS504D,CS303
10900113080,M(CS)401,CS201,CS302,CS501,CS504D,CS303,CS401,CS402,CS403,CS502
10900113081,M(CS)401,CS501,CS201,CS302,CS401,CS504D,CS601,CS605A,CS301,CS303
10900113082,CS201,M(CS)401,CS401,CS402,CS501,CS503,CS504D,CS601,CS602,CS603
10900113083,CS201,CS401,CS501,CS503,CS504D,CS605A,CS301,CS302,CS303,M(CS)401
10900113084,CS201,M(CS)401,CS501,CS605A,CS503,CS601,CS602,CS302,CS502,CS504D
10900113085,CS201,M(CS)401,CS501,CS605A,CS302,CS402,CS503,CS504D,CS601,CS602
10900113086,CS401,CS501,CS504D,CS602,CS604A/ CS604B,CS605A,CS201,CS301,CS302,CS303
10900113087,M(CS)401,CS201,CS605A,CS401,CS501,CS601,CS603,CS604A/ CS604B,CS301,CS302
10900113088,M(CS)401,CS201,CS302,CS401,CS501,CS502,CS504D,CS605A,CS601,CS602
10900113089,CS605A,CS201,M(CS)401,CS401,CS302,CS403,CS501,CS502,CS504D,CS603
10900113091,CS201,M(CS)401,CS605A,CS301,CS302,CS501,CS502,CS601,CS603,CS604A/ CS604B
10900113092,CS605A,M(CS)401,CS502,CS201,CS301,CS303,CS401,CS403,CS501,CS601
10900113093,CS605A,M(CS)401,CS502,CS201,CS302,CS303,CS401,CS501,CS603,CS604A/ CS604B
10900113094,CS501,CS605A,CS201,CS302,M(CS)401,CS402,CS502,CS504D,CS601,CS604A/ CS604B
10900113096,CS201,CS302,M(CS)401,CS501,CS504D,CS601,CS303,CS401,CS402,CS502
10900113097,CS201,M(CS)401,CS504D,CS601,CS602,CS605A,CS302,CS502,CS603,CS604A/ CS604B
10900113099,CS302,M(CS)401,CS501,CS504D,CS201,CS402,CS601,CS602,CS604A/ CS604B,CS403
10900113100,M(CS)401,CS302,CS401,CS504D,CS605A,CS201,CS303,CS402,CS403,CS501
10900113101,CS605A,CS201,M(CS)401,CS501,CS502,CS602,CS302,CS401,CS503,CS504D
10900113102,CS502,CS605A,M(CS)401,CS401,CS501,CS504D,CS602,CS604A/ CS604B,CS201,CS303
10900113103,CS201,M(CS)401,CS302,CS501,CS503,CS504D,CS604A/ CS604B,CS605A,CS301,CS303
10900113104,CS201,CS504D,M(CS)401,CS601,CS302,CS303,CS401,CS501,CS502,CS503
10900113105,CS201,M(CS)401,CS401,CS504D,CS604A/ CS604B,CS303,CS402,CS501,CS503,CS601
10900113106,CS201,M(CS)401,CS504D,CS605A,CS503,CS601,CS604A/ CS604B,CS302,CS402,CS403
10900113107,CS201,CS504D,CS301,CS302,CS303,M(CS)401,CS401,CS402,CS403,CS501
10900113108,CS201,M(CS)401,CS401,CS504D,CS604A/ CS604B,CS605A,CS302,CS303,CS402,CS501
10900113109,M(CS)401,CS605A,CS201,CS302,CS401,CS504D,CS602,CS604A/ CS604B,CS403,CS501
10900113110,M(CS)401,CS605A,CS201,CS302,CS501,CS504D,CS603,CS401,CS403,CS601
10900113111,CS201,CS302,M(CS)401,CS401,CS504D,CS601,CS605A,CS402,CS403,CS501
10900113112,M(CS)401,CS201,CS401,CS501,CS504D,CS605A,CS302,CS402,CS403,CS502
10900113113,M(CS)401,CS504D,CS604A/ CS604B,CS605A,CS401,CS403,CS501,CS503,CS601,CS602
10900113114,M(CS)401,CS201,CS401,CS501,CS504D,CS302,CS303,CS403,CS601,CS602
10900113115,CS302,CS605A,M(CS)401,CS501,CS504D,CS601,CS201,CS303,CS403,CS502
10900113116,M(CS)401,CS201,CS303,CS401,CS501,CS504D,CS601,CS602,CS604A/ CS604B,CS605A
10900113117,M(CS)401,CS201,CS504D,CS302,CS502,CS503,CS605A,CS301,CS403,CS501
